Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,7.7,-2.7,5.7,5.3,12.6,16.1,14.9,22,13.2,7.9,10.6,-1.9
2,0.4,-3.1,6,4.5,10.9,16.1,14.9,22,12.9,7.8,9.6,1.9
3,1,1.2,4.4,1.9,5.8,11.3,18.3,25.7,16.4,7,8.1,2.7
4,2.8,2.8,4.4,3,4.9,14.6,17.9,23,15.4,12.8,7.3,4.4
5,3.4,4.9,3.5,7.2,6.9,10.2,19.9,18.9,12.9,11.4,5.8,8.9
6,7.1,4.5,8.2,9,7.6,14.1,17.9,16.3,12.3,12.8,3.2,9.1
7,6.8,3.2,3.4,9.9,7.2,14.8,19.1,18.2,12.8,10.6,4.5,5.8
8,2.2,2.6,3.2,8.8,4.9,9.7,20.3,21,14.9,10,1.4,6.6
9,-0.7,2.7,1.7,5.9,6,13.4,18.3,20.4,14.4,8.6,1.3,3
10,4.9,1.2,0.6,6,8.8,16.1,19.4,17.5,15.5,10.8,2.5,4.3
11,5.5,3.6,3.1,7.1,10,8.7,21.2,15.1,15.2,9.6,3.5,0.7
12,6.2,7.1,2.7,5.8,12.7,9.9,22.1,14.6,18.2,12.1,2.6,0.3
13,7.4,4.9,2.6,3.5,17.5,8.6,22,14.5,13.7,10.6,2.4,2.8
14,3.7,6.8,3.9,2.2,20.1,12.7,21.1,15.9,13.9,11.1,0.6,0.1
15,5.7,7.1,5.1,4.8,22.3,13.1,24.3,15.4,14.9,11.1,4,-0.1
16,3.9,6.2,4.1,9.6,13.3,14.5,22.8,15.1,13.3,10.6,4.4,1.2
17,-2.7,5.3,2.3,12.9,15,13.7,18.4,15.3,12.3,9,4.1,1.4
18,-1.9,4.4,5.9,14.8,14,17.3,17.6,13.7,15.1,9.9,0.2,2.9
19,0.8,4.1,7.1,18.2,15.2,18.5,17.8,14.7,18.8,7.6,1.5,7
20,2.8,4.9,8.2,21,14.3,15.1,19.5,15.3,19.7,5.8,3,6
21,-0.8,9.6,13.5,18.5,14.4,14.6,17.9,16.2,18.9,7.8,1.5,3.5
22,-0.2,10.9,7.1,16.4,11.3,20,21.1,15.9,18.4,8,4.3,2.9
23,-3.1,10.4,6.1,13.4,16.8,17,27.3,20.9,15,8.4,6.9,4.1
24,1.2,11.7,4.7,13.6,15.8,22.4,24.7,23.8,17.1,10.4,7.5,5.7
25,7.6,10.9,6.9,11.6,15.4,18.5,33.1,27,16.9,6,7.3,4.9
26,6,13,6.2,7.4,15.2,17.3,24.6,23.7,13.8,4,7.9,3
27,-1.4,10.4,9,7.8,12.8,21.4,18.2,25.1,11.4,5.9,5.7,5.8
28,-1.5,8.5,9.3,12,12.5,23.6,23,16,13.9,3.7,4.9,6.8
29,-0.6,,7.3,13.7,11.8,29.8,20.3,15,10.9,5.9,0.1,6.3
30,-2.2,,9.4,16.4,16.4,17.6,22.6,13.3,13.1,6.4,-0.3,7.3
31,-4.8,,5,,13,,18.6,14.9,,4.7,,1.3
